location,date,b3001,b3002,b3003,b3004,b3005,b3006
?,9-10-2020 7:36:20 PM,-78,-61,-200,-78,-64,-76
?,9-10-2020 7:36:21 PM,-90,-200,-55,-82,-65,-68
?,9-10-2020 7:36:22 PM,-88,-87,-58,-75,-60,-62
?,9-10-2020 7:36:23 PM,-76,-200,-200,-77,-59,-64
?,9-10-2020 7:36:24 PM,-92,-76,-200,-82,-72,-74
?,9-10-2020 7:36:25 PM,-200,-200,-200,-84,-65,-72
?,9-10-2020 7:36:26 PM,-78,-83,-200,-86,-70,-73
?,9-10-2020 7:36:27 PM,-200,-200,-200,-84,-58,-80
?,9-10-2020 7:36:28 PM,-200,-200,-200,-78,-57,-84
?,9-10-2020 7:36:29 PM,-200,-200,-200,-91,-68,-83
?,9-10-2020 7:36:30 PM,-87,-200,-200,-79,-59,-78
?,9-10-2020 7:36:31 PM,-80,-200,-84,-79,-64,-76
?,9-10-2020 7:36:32 PM,-90,-73,-200,-85,-65,-70
?,9-10-2020 7:36:33 PM,-200,-200,-85,-89,-63,-76
?,9-10-2020 7:36:34 PM,-200,-200,-200,-89,-57,-76
?,9-10-2020 7:36:35 PM,-200,-200,-200,-84,-57,-74
?,9-10-2020 7:36:36 PM,-91,-200,-200,-86,-54,-72
?,9-10-2020 7:36:37 PM,-84,-73,-70,-87,-67,-81
?,9-10-2020 7:36:38 PM,-83,-200,-200,-82,-63,-88
?,9-10-2020 7:36:39 PM,-200,-200,-200,-86,-61,-79
?,9-10-2020 7:36:40 PM,-200,-200,-200,-91,-63,-73
?,9-10-2020 7:36:41 PM,-200,-96,-76,-200,-62,-73
?,9-10-2020 7:36:42 PM,-200,-200,-97,-200,-63,-81
?,9-10-2020 7:36:43 PM,-81,-80,-200,-97,-59,-80
?,9-10-2020 7:36:44 PM,-200,-200,-200,-92,-58,-81
?,9-10-2020 7:36:45 PM,-200,-200,-85,-81,-54,-76
?,9-10-2020 7:36:46 PM,-200,-200,-200,-200,-52,-78
?,9-10-2020 7:36:47 PM,-97,-90,-200,-82,-62,-90
?,9-10-2020 7:36:48 PM,-200,-200,-200,-95,-49,-86
?,9-10-2020 7:36:49 PM,-78,-200,-200,-200,-55,-200
?,9-10-2020 7:36:50 PM,-200,-200,-200,-200,-55,-99
?,9-10-2020 7:36:51 PM,-99,-200,-200,-95,-51,-84
?,9-10-2020 7:36:52 PM,-200,-200,-200,-79,-53,-75
?,9-10-2020 7:36:53 PM,-85,-200,-200,-200,-54,-78
?,9-10-2020 7:36:54 PM,-97,-200,-200,-88,-57,-86
?,9-10-2020 7:36:55 PM,-200,-69,-200,-86,-59,-93
?,9-10-2020 7:36:56 PM,-200,-200,-69,-89,-60,-91
?,9-10-2020 7:36:57 PM,-200,-200,-200,-74,-61,-83
?,9-10-2020 7:36:58 PM,-80,-200,-200,-84,-55,-81
?,9-10-2020 7:36:59 PM,-95,-91,-200,-83,-56,-81
?,9-10-2020 7:37:00 PM,-95,-200,-70,-69,-65,-75
?,9-10-2020 7:37:01 PM,-200,-73,-66,-76,-70,-72
?,9-10-2020 7:37:02 PM,-200,-200,-200,-80,-65,-82
?,9-10-2020 7:37:03 PM,-200,-200,-200,-82,-63,-78
?,9-10-2020 7:37:04 PM,-89,-200,-200,-88,-66,-75
?,9-10-2020 7:37:05 PM,-96,-200,-200,-77,-71,-77
?,9-10-2020 7:37:06 PM,-200,-200,-200,-81,-54,-67
?,9-10-2020 7:37:07 PM,-200,-200,-56,-78,-59,-76
?,9-10-2020 7:37:08 PM,-200,-200,-200,-82,-52,-84
?,9-10-2020 7:37:09 PM,-200,-200,-200,-93,-57,-76
?,9-10-2020 7:37:10 PM,-91,-82,-73,-86,-56,-76
?,9-10-2020 7:37:11 PM,-200,-200,-83,-75,-64,-79
?,9-10-2020 7:37:12 PM,-79,-200,-200,-87,-56,-73
?,9-10-2020 7:37:13 PM,-200,-200,-200,-82,-61,-72
?,9-10-2020 7:37:14 PM,-200,-200,-200,-87,-58,-62
?,9-10-2020 7:37:15 PM,-200,-200,-200,-94,-59,-81
?,9-10-2020 7:37:16 PM,-200,-200,-200,-96,-70,-67
?,9-10-2020 7:37:17 PM,-200,-200,-200,-88,-66,-73
?,9-10-2020 7:37:18 PM,-200,-200,-200,-79,-58,-76
?,9-10-2020 7:37:19 PM,-200,-200,-200,-78,-64,-73
?,9-10-2020 7:37:20 PM,-200,-200,-200,-77,-62,-73
?,9-10-2020 7:37:21 PM,-200,-200,-200,-95,-66,-72
?,9-10-2020 7:37:22 PM,-200,-200,-200,-82,-63,-70
?,9-10-2020 7:37:23 PM,-200,-200,-200,-85,-61,-71
?,9-10-2020 7:37:24 PM,-200,-200,-200,-89,-68,-66
?,9-10-2020 7:37:25 PM,-200,-200,-200,-85,-65,-64
?,9-10-2020 7:37:26 PM,-200,-200,-200,-78,-63,-68
?,9-10-2020 7:37:27 PM,-200,-200,-200,-86,-60,-71
?,9-10-2020 7:37:28 PM,-200,-200,-200,-96,-56,-75
?,9-10-2020 7:37:29 PM,-200,-200,-200,-81,-64,-78
?,9-10-2020 7:37:30 PM,-200,-200,-200,-86,-63,-64
?,9-10-2020 7:37:31 PM,-200,-73,-200,-88,-57,-85
?,9-10-2020 7:37:32 PM,-78,-200,-200,-82,-71,-80
?,9-10-2020 7:37:33 PM,-200,-80,-200,-91,-63,-73
?,9-10-2020 7:37:34 PM,-200,-200,-200,-83,-67,-72
?,9-10-2020 7:37:35 PM,-200,-200,-77,-84,-66,-73
?,9-10-2020 7:37:36 PM,-200,-200,-62,-76,-66,-66
?,9-10-2020 7:37:37 PM,-86,-200,-200,-82,-64,-74
?,9-10-2020 7:37:38 PM,-86,-200,-200,-79,-66,-71
?,9-10-2020 7:37:39 PM,-200,-200,-200,-88,-58,-71
?,9-10-2020 7:37:40 PM,-85,-200,-200,-82,-56,-80
?,9-10-2020 7:37:41 PM,-72,-200,-200,-80,-69,-69
?,9-10-2020 7:37:42 PM,-75,-70,-200,-81,-73,-57
?,9-10-2020 7:37:43 PM,-73,-66,-200,-68,-73,-63
?,9-10-2020 7:37:44 PM,-73,-200,-55,-82,-67,-55
?,9-10-2020 7:37:45 PM,-76,-200,-56,-80,-63,-56
?,9-10-2020 7:37:46 PM,-72,-74,-200,-70,-66,-57
?,9-10-2020 7:37:47 PM,-78,-200,-200,-76,-66,-55
?,9-10-2020 7:37:48 PM,-80,-54,-70,-64,-62,-46
